TTSH	Tile Shop Holdings	Specialty Retail	423.02M
TTWO	Take-Two Interactive	Entertainment	17.94B
TU	TELUS Corporation	Diversified Telecommunication Services	31.37B
TUEM	Tuesday Morning	Specialty Retail	168.07M
TUFN	Tufin Software Technologies	Software	405.31M
TUGC	TradeUP Global	Shell Companies	50.27M
TUP	Tupperware Brands	Household Durables	1.16B
TURN	180 Degree Capital	Capital Markets	77.28M
TUSK	Mammoth Energy Services	Energy Equipment & Services	155.45M
TUYA	Tuya	Software-Infrastructure	6.66B
TV	Grupo Televisa	Media	6.86B
TVAC	Thayer Ventures Acquisition	Shell Companies	216.49M
TVTX	Travere Therapeutics	Biotechnology	1.43B
TVTY	Tivity Health	Health Care Providers & Services	1.14B
TW	Tradeweb Markets	Capital Markets	19.98B
TWI	Titan International	Machinery	443.29M
TWIN	Twin Disc	Machinery	160.04M
TWLO	Twilio	IT Services	60.65B
TWLV	Twelve Seas Investment II	Shell Companies	77.28M
TWND	Tailwind Acquisition	Shell Companies	407.74M
TWNI	Tailwind International Acquisition	Shell Companies	416.59M
TWNK	Hostess Brands	Food Products	2.09B
TWNT	Tailwind Two Acquisition	Shell Companies	417.88M
TWO	Two Harbors Investment	Mortgage Real Estate Investment Trus...	2.00B
TWOA	two	Shell Companies	248.58M
TWOU	2U, Inc	Software	2.58B
TWST	Twist Bioscience	Biotechnology	5.99B
TWTR	Twitter	Interactive Media & Services	49.12B
TX	Ternium	Metals & Mining	10.37B
TXG	10X Genomics	Life Sciences Tools & Services	20.46B
TXMD	TherapeuticsMD	Pharmaceuticals	326.34M
TXN	Texas Instruments	Semiconductors & Semiconductor Equipment	176.01B
TXRH	Texas Roadhouse	Hotels, Restaurants & Leisure	6.42B
TXT	Textron	Aerospace & Defense	15.81B
TYG	Tortoise Energy Infrastructure	Asset Management	233.20M
TYHT	Shineco	Personal Products	80.39M
TYL	Tyler Technologies	Software	19.27B
TYME	Tyme Technologies	Biotechnology	184.26M
TZOO	Travelzoo	Interactive Media & Services	128.93M
TZPS	TZP Strategies Acquisition	Shell Companies	350.03M
U	Unity Software	Software	38.17B
UA	Under Armour	Textiles, Apparel & Luxury Goods	10.07B
UAA	Under Armour	Textiles, Apparel & Luxury Goods	9.91B
UAL	United Airlines	Airlines	14.35B
UAMY	United States Antimony	Metals & Mining	97.50M
UAN	CVR Partners	Chemicals	643.33M
UAVS	AgEagle Aerial Systems	Machinery	242.72M
UBA	Urstadt Biddle Properties	Equity Real Estate Investment Trusts...	733.82M
UBCP	United Bancorp	Banks	87.19M
UBER	Uber Technologies	Road & Rail	75.17B
UBFO	United Security Bancshares	Banks	138.80M
UBOH	United Bancshares	Banks	97.06M
UBP	Urstadt Biddle Properties	Equity Real Estate Investment Trusts...	733.82M
UBS	UBS Group	Capital Markets	57.67B
UBSI	United Bankshares	Banks	4.32B
UBX	Unity Biotechnology	Biotechnology	175.78M
UCBI	United Community Banks	Banks	2.48B
UCL	uCloudlink Group	Telecom Services	211.90M
UCTT	Ultra Clean Holdings	Semiconductors & Semiconductor Equipment	2.06B
UDR	UDR, Inc.	Equity Real Estate Investment Trusts...	15.66B
UE	Urban Edge Properties	Equity Real Estate Investment Trusts...	2.07B
UEC	Uranium Energy	Oil, Gas & Consumable Fuels	748.73M
UEIC	Universal Electronics	Household Durables	675.12M
UEPS	Net 1 UEPS Technologies	IT Services	261.86M
UFAB	Unique Fabricating	Auto Components	23.57M
UFCS	United Fire Group	Insurance	568.15M
UFI	Unifi, Inc.	Textiles, Apparel & Luxury Goods	383.32M
UFPI	Universal Forest Products	Building Products	4.35B
UFPT	UFP Technologies	Containers & Packaging	500.84M
UFS	Domtar	Paper & Forest Products	2.77B
UG	United-Guardian	Personal Products	67.90M
UGI	UGI Corporation	Gas Utilities	9.37B
UGP	Ultrapar Participacoes	Oil, Gas & Consumable Fuels	2.99B
UGRO	Urban-gro	Farm & Heavy Construction Machinery	149.70M
UHAL	Amerco	Road & Rail	12.93B
UHS	Universal Health Services	Health Care Providers & Services	12.26B
UHT	Universal Health Realty Income Trust	Equity Real Estate Investment Trusts...	785.38M
UI	Ubiquiti	Communications Equipment	19.65B
UIHC	United Insurance Holdings	Insurance	135.67M
UIS	Unisys	IT Services	1.58B
UK	Ucommune International	Real Estate Services	89.14M
UL	Unilever PLC	Personal Products	141.96B
ULBI	Ultralife	Electrical Equipment	128.91M
ULCC	Frontier Group Holdings	Airlines	3.17B
ULH	Universal Logistics Holdings	Road & Rail	555.89M
ULTA	Ulta Beauty	Specialty Retail	20.37B
UMBF	UMB Financial	Banks	4.28B
UMC	United Microelectronics	Semiconductors & Semiconductor Equipment	30.33B
UMH	UMH Properties	Equity Real Estate Investment Trusts...	1.14B
UMPQ	Umpqua Holdings	Banks	4.21B
UNAM	Unico American	Insurance	18.09M
UNB	Union Bankshares	Banks	148.10M
UNCY	Unicycive Therapeutics	Biotechnology	38.96M
UNF	UniFirst	Commercial Services & Supplies	4.24B
UNFI	United Natural Foods	Food & Staples Retailing	2.06B
UNH	UnitedHealth	Health Care Providers & Services	380.85B
UNIT	Uniti Group	Equity Real Estate Investment Trusts...	2.96B
UNM	Unum Group	Insurance	5.27B
UNP	Union Pacific	Road & Rail	136.98B
UNTY	Unity Bancorp	Banks	233.83M
UNVR	Univar Solutions	Trading Companies & Distributors	3.85B
UONE	Urban One	Media	358.00M
UONEK	Urban One	Media	358.00M
UP	Wheels Up	Airports & Air Services	1.90B
UPC	Universe Pharmaceuticals	Biotechnology	54.38M
UPH	UpHealth	Health Information Services	482.18M
UPLD	Upland Software	Software	1.11B
UPS	United Parcel Service	Air Freight & Logistics	168.34B
UPST	Upstart Holdings	Consumer Finance	21.03B
UPWK	Upwork	Professional Services	5.70B
URBN	Urban Outfitters	Specialty Retail	3.07B
URG	Ur-Energy	Oil, Gas & Consumable Fuels	237.26M
URGN	UroGen Pharma	Biotechnology	357.36M
URI	United Rentals	Trading Companies & Distributors	24.71B
UROY	Uranium Royalty	Uranium	290.78M
USAC	USA Compression Partners	Energy Equipment & Services	1.49B
USAK	USA Truck	Road & Rail	122.47M
USAP	Universal Stainless & Alloy Products	Metals & Mining	95.87M
USAS	Americas Gold & Silver	Metals & Mining	134.24M
USAU	U.S. Gold Corp	Metals & Mining	72.02M
USB	U.S. Bancorp	Banks	82.21B
USCB	U.S. Century Bank	Banks-Regional	237.03M
USDP	USD Partners	Oil, Gas & Consumable Fuels	190.88M
USEG	U.S. Energy	Oil, Gas & Consumable Fuels	19.78M
USFD	US Foods Holding	Food & Staples Retailing	7.20B
USIO	Usio, Inc.	IT Services	161.54M
USLM	United States Lime & Minerals	Construction Materials	764.06M
USM	United States Cellular	Wireless Telecommunication Services	2.72B
USNA	USANA Health Sciences	Personal Products	1.96B
USPH	U.S. Physical Therapy	Health Care Providers & Services	1.47B
USWS	U.S. Well Services	Oil & Gas Midstream	70.84M
USX	U.S. Xpress Enterprises	Road & Rail	430.93M
UTHR	United Therapeutics	Biotechnology	9.45B
UTI	Universal Technical Institute	Diversified Consumer Services	223.54M
UTL	Unitil	Multi-Utilities	765.43M
UTMD	Utah Medical Products	Health Care Equipment & Supplies	328.19M
UTME	UTime	Consumer Electronics	49.94M
UTSI	UTStarcom Holdings	Communications Equipment	45.23M
UTZ	Utz Brands	Food Products	2.65B
UUU	Universal Security Instruments	Electronic Equipment, Instruments & C...	13.72M
UUUU	Energy Fuels	Oil, Gas & Consumable Fuels	1.04B
UVE	Universal Insurance Holdings	Insurance	420.57M
UVSP	Univest Financial	Banks	762.38M
UVV	Universal Corporation	Tobacco	1.21B
UWMC	UWM Holdings	Mortgage Finance	11.28B
UXIN	Uxin Limited	Internet & Direct Marketing Retail	1.31B
V	Visa, Inc	IT Services	493.54B
VABK	Virginia National Bankshares	Banks	197.66M
VAC	Marriott Vacations Worldwide	Hotels, Restaurants & Leisure	6.36B
VACC	Vaccitech	Biotechnology	535.52M
VAL	Valaris	Oil & Gas Equipment & Services	2.36B
VALE	Vale S.A.	Metals & Mining	90.31B
VALN	Valneva	Biotechnology	2.29B
VALU	Value Line	Capital Markets	327.54M
VAPO	Vapotherm	Health Care Equipment & Supplies	745.62M
VAQC	Vector Acquisition II	Shell Companies	556.29M
VBFC	Village Bank & Trust Financial	Banks	68.60M
VBIV	VBI Vaccines	Biotechnology	829.47M
VBLT	Vascular Biogenics	Biotechnology	154.05M
VBTX	Veritex Holdings	Banks	1.76B
VC	Visteon	Auto Components	2.77B
VCEL	Vericel	Biotechnology	2.41B
VCKA	Vickers Vantage I	Shell Companies	230.46M
VCNX	Vaccinex	Biotechnology	71.77M
VCRA	Vocera Communications	Health Care Technology	1.65B
VCTR	Victory Capital Holdings	Capital Markets	2.26B
VCYT	Veracyte	Biotechnology	3.45B
VEC	Vectrus	Aerospace & Defense	566.07M
VECO	Veeco Instruments	Semiconductors & Semiconductor Equipment	1.15B
VECT	VectivBio Holding	Biotechnology	267.01M
VEDL	Vedanta	Metals & Mining	15.43B
VEEE	Twin Vee PowerCats	Recreational Vehicles	30.52M
VEEV	Veeva Systems	Health Care Technology	46.97B
VEI	Vine Energy	Oil & Gas E&P	1.19B
VEL	Velocity Financial	Thrifts & Mortgage Finance	268.75M
VELO	Velocity Acquisition	Shell Companies	282.04M
VENA	Venus Acquisition	Shell Companies	60.49M
VEON	VEON Ltd.	Wireless Telecommunication Services	3.78B
VER	VEREIT, Inc	Equity Real Estate Investment Trusts...	10.91B
VERA	Vera Therapeutics	Biotechnology	555.98M
VERB	Verb Technology Company	Software	131.22M
VERI	Veritone	Software	654.53M
VERO	Venus Concept	Medical Devices	120.21M
VERU	Veru Inc.	Personal Products	729.86M
VERV	Verve Therapeutics	Biotechnology	3.55B
VERX	Vertex	Software-Application	2.77B
VERY	Vericity	Insurance	140.42M
VET	Vermilion Energy	Oil, Gas & Consumable Fuels	1.37B
VEV	Vicinity Motor	Auto Manufacturers	137.92M
VFC	VF Corporation	Textiles, Apparel & Luxury Goods	27.86B
VFF	Village Farms International	Food Products	731.57M
VG	Vonage Holdings	Diversified Telecommunication Services	3.65B
VGII	Virgin Group Acquisition II	Shell Companies	422.55M
VGR	Vector Group	Tobacco	2.21B
VGZ	Vista Gold	Metals & Mining	97.26M
VHAQ	Viveon Health Acquisition	Shell Companies	250.56M
VHC	VirnetX Holding	Software	291.34M
VHI	Valhi, Inc.	Chemicals	639.06M
VIA	Via Renewables	Utilities-Regulated Electric	369.60M
VIAC	ViacomCBS	Media	25.81B
VIACA	ViacomCBS	Media	25.81B
VIAO	VIA optronics AG	Electronic Components	198.22M
VIAV	Viavi Solutions	Communications Equipment	3.67B
VICI	VICI Properties	Equity Real Estate Investment Trusts...	15.97B
VICR	Vicor Corporation	Electrical Equipment	5.43B
VIEW	View	Building Products & Equipment	1.10B
VIH	VPC Impact Acquisition	Shell Companies	266.73M
VII	7GC & Co. Holdings	Shell Companies	3.62M
VINC	Vincerx Pharma	Biotechnology	298.91M
VINO	Gaucho Group Holdings	Real Estate-Diversified	27.83M
VINP	Vinci Partners Investments	Asset Management	781.72M
VIOT	Viomi Technology	Household Durables	342.36M
VIPS	Vipshop Holdings	Internet & Direct Marketing Retail	9.89B
VIR	Vir Biotechnology	Biotechnology	6.75B
VIRC	Virco Manufacturing	Commercial Services & Supplies	54.92M
VIRI	Virios Therapeutics	Biotechnology	51.15M
VIRT	Virtu Financial	Capital Markets	4.33B
VIRX	Viracta Therapeutics	Biotechnology	302.28M
VISL	Vislink Technologies	Communications Equipment	91.02M
VIST	Vista Oil & Gas	Oil, Gas & Consumable Fuels	368.64M
VITL	Vital Farms	Farm Products	684.52M
VIV	Telefonica Brasil	Telecom Services	13.64B
VIVE	Viveve Medical	Health Care Equipment & Supplies	26.48M
VIVO	Meridian Bioscience	Health Care Equipment & Supplies	887.45M
VJET	Voxeljet AG	Machinery	44.79M
VKTX	Viking Therapeutics	Biotechnology	516.05M
VLAT	Valor Latitude Acquisition	Blank Checks / SPAC	241.50M
VLDR	Velodyne Lidar	Scientific & Technical Instruments	1.27B
VLGEA	Village Super Market	Food & Staples Retailing	314.63M
VLO	Valero Energy	Oil, Gas & Consumable Fuels	25.92B
VLON	Vallon Pharmaceuticals	Biotechnology	51.64M
VLRS	Controladora Vuela Compania de Aviacion	Airlines	2.39B
VLTA	Volta	Shell Companies	401.06M
VLY	Valley National Bancorp	Banks	4.94B
VMAC	Vistas Media Acquisition	Shell Companies	128.94M
VMAR	Vision Marine Technologies	Leisure Products	55.24M
VMC	Vulcan Materials	Construction Materials	23.58B
VMD	Viemed Healthcare	Health Care Providers & Services	246.60M
VMEO	Vimeo	Software-Application	6.49B
VMI	Valmont Industries	Construction & Engineering	5.15B
VMW	VMware	Software	59.18B
VNCE	Vince Holding	Textiles, Apparel & Luxury Goods	92.43M
VNDA	Vanda Pharmaceuticals	Biotechnology	900.78M
VNE	Veoneer	Auto Components	3.90B
VNET	21Vianet Group	IT Services	3.05B
VNO	Vornado Realty Trust	Equity Real Estate Investment Trusts...	8.28B
VNOM	Viper Energy Partners	Oil, Gas & Consumable Fuels	2.93B
VNRX	VolitionRX	Health Care Equipment & Supplies	171.13M
VNT	Vontier	Electronic Equipment, Instruments & C...	6.13B
VNTR	Venator Materials	Chemicals	288.90M
VOC	VOC Energy Trust	Oil, Gas & Consumable Fuels	72.08M
VOD	Vodafone Group	Wireless Telecommunication Services	45.09B
VOLT	Volt Information Sciences	Professional Services	88.90M
VOR	Vor Biopharma	Biotechnology	574.26M
VOSO	Virtuoso Acquisition	Shell Companies	284.05M
VOXX	VOXX International	Household Durables	265.55M
VOYA	Voya Financial	Diversified Financial Services	7.21B
VPCB	VPC Impact Acquisition II	Shell Companies	316.21M
VPCC	VPC Impact Acquisition III	Shell Companies	317.52M
VPG	Vishay Precision Group	Electronic Equipment, Instruments & C...	493.93M
VQS	VIQ Solutions	Software-Application	121.82M
VRA	Vera Bradley	Textiles, Apparel & Luxury Goods	356.88M
VRAR	Glimpse Group	Software-Infrastructure	90.38M
VRAY	ViewRay	Health Care Equipment & Supplies	1.00B
VRCA	Verrica Pharmaceuticals	Pharmaceuticals	331.55M
VRDN	Viridian Therapeutics	Biotechnology	117.54M
VREX	Varex Imaging	Health Care Equipment & Supplies	1.12B
VRM	Vroom	Specialty Retail	3.62B
VRME	VerifyMe	Electronic Equipment, Instruments & C...	26.44M
VRNA	Verona Pharma	Pharmaceuticals	338.61M
VRNS	Varonis Systems	Software	7.42B
VRNT	Verint Systems	Software	2.83B
VRPX	Virpax Pharmaceuticals	Biotechnology	57.53M
VRRM	Verra Mobility	IT Services	2.31B
VRS	Verso	Paper & Forest Products	566.59M
VRSK	Verisk Analytics	Professional Services	33.17B
VRSN	VeriSign	IT Services	24.74B
VRT	Vertiv Holdings	Electrical Equipment & Parts	8.65B
VRTS	Virtus Investment Partners	Capital Markets	2.39B
VRTV	Veritiv Corporation	Trading Companies & Distributors	1.37B
VRTX	Vertex Pharmaceuticals	Biotechnology	48.92B
VS	Versus Systems	Electronic Gaming & Multimedia	72.26M
VSAT	ViaSat	Communications Equipment	3.56B
VSCO	Victoria's Secret & Co.	Apparel Retail	5.44B
VSEC	VSE Corporation	Commercial Services & Supplies	601.29M
VSH	Vishay Intertechnology	Electronic Equipment, Instruments & C...	3.02B
VST	Vistra Energy	Independent Power and Renewable Elect...	9.12B
VSTA	Vasta Platform	Education & Training Services	438.41M
VSTM	Verastem	Biotechnology	477.20M
VSTO	Vista Outdoor	Leisure Products	2.38B
VTAQ	Ventoux CCM Acquisition	Shell Companies	214.98M
VTEX	VTEX	Software-Application	4.53B
VTGN	VistaGen Therapeutics	Biotechnology	582.57M
VTIQ	VectoIQ Acquisition II	Shell Companies	345.15M
VTNR	Vertex Energy	Oil, Gas & Consumable Fuels	414.36M
VTOL	Bristow Group	Oil & Gas Equipment & Services	965.90M
VTR	Ventas	Equity Real Estate Investment Trusts...	21.37B
VTRS	Viatris	Pharmaceuticals	16.69B
VTRU	Vitru	Education & Training Services	391.67M
VTSI	VirTra	Aerospace & Defense	98.96M
VTVT	vTv Therapeutics	Biotechnology	149.92M
VUZI	Vuzix	Household Durables	748.38M
VVI	Viad Corp	Commercial Services & Supplies	871.38M
VVNT	Vivint Smart Home	Security & Protection Services	2.52B
VVOS	Vivos Therapeutics	Medical Devices	119.99M
VVPR	VivoPower International	Independent Power and Renewable Elect...	91.88M
VVV	Valvoline	Chemicals	5.63B
VWE	Vintage Wine Estates	Beverages-Wineries & Distilleries	683.22M
VWTR	Vidler Water Resources	Commercial Services & Supplies	231.26M
VXRT	Vaxart	Biotechnology	1.08B
VYGG	Vy Global Growth	Shell Companies	630.17M
VYGR	Voyager Therapeutics	Biotechnology	125.19M
VYNE	VYNE Therapeutics	Biotechnology	80.87M
VYNT	Vyant Bio	Biotechnology	75.94M
VZ	Verizon	Diversified Telecommunication Services	224.52B
VZIO	VIZIO Holding	Household Durables	3.59B
W	Wayfair	Internet & Direct Marketing Retail	27.25B
WAB	Wabtec	Machinery	16.90B
WABC	Westamerica Bancorporation	Banks	1.46B
WAFD	Washington Federal	Thrifts & Mortgage Finance	2.22B
WAFU	Wah Fu Education Group	Diversified Consumer Services	28.28M
WAL	Western Alliance Bancorporation	Banks	10.00B
WALD	Waldencast Acquisition	Shell Companies	424.35M
WARR	Warrior Technologies Acquisition	Shell Companies	0.00
WASH	Washington Trust Bancorp	Banks	867.23M
WAT	Waters Corporation	Life Sciences Tools & Services	25.78B
WATT	Energous	Electrical Equipment	145.87M
WAVE	Eco Wave Power Global	Software	40.70M
WB	Weibo	Interactive Media & Services	12.20B
WBA	Walgreens Boots Alliance	Food & Staples Retailing	42.77B
WBK	Westpac Banking	Banks	69.24B
WBS	Webster Financial	Banks	4.40B
WBT	Welbilt	Machinery	3.34B
WCC	WESCO International	Trading Companies & Distributors	5.68B
WCN	Waste Connections	Commercial Services & Supplies	34.39B
WD	Walker & Dunlop	Thrifts & Mortgage Finance	3.53B
WDAY	Workday	Software	66.35B
WDC	Western Digital	Technology Hardware, Storage & Periph...	17.90B
WDFC	WD-40 Company	Household Products	3.17B
WDH	Waterdrop	Insurance-Diversified	1.26B
WEBR	Weber	Furnishings, Fixtures & Appliances	7.86B
WEC	WEC Energy Group	Multi-Utilities	29.93B
WEI	Weidai	Consumer Finance	63.42M
WELL	Welltower	Equity Real Estate Investment Trusts...	36.63B
WEN	Wendy's	Hotels, Restaurants & Leisure	4.99B
WERN	Werner Enterprises	Road & Rail	3.20B
WES	Western Midstream Partners	Oil, Gas & Consumable Fuels	8.21B
WETF	WisdomTree Investments	Capital Markets	874.98M
WEX	WEX Inc.	IT Services	7.65B
WEYS	Weyco Group	Distributors	214.96M
WF	Woori Financial Group	Banks	6.75B
WFC	Wells Fargo	Banks	182.04B
WFCF	Where Food Comes From	Software	73.38M
WFG	West Fraser Timber	Paper & Forest Products	8.65B
WFRD	Weatherford International	Oil & Gas Equipment & Services	1.19B
WGO	Winnebago Industries	Automobiles	2.37B
WH	Wyndham Hotels & Resorts	Hotels, Restaurants & Leisure	6.68B
WHD	Cactus	Energy Equipment & Services	2.69B
WHF	WhiteHorse Finance	Capital Markets	327.43M
WHG	Westwood Holdings Group	Capital Markets	175.09M
WHLM	Wilhelmina International	Commercial Services & Supplies	29.29M
WHLR	Wheeler Real Estate Investment Trust	Equity Real Estate Investment Trusts...	30.89M
WHR	Whirlpool	Household Durables	13.53B
WILC	G. Willi Food International	Food & Staples Retailing	299.67M
WIMI	WiMi Hologram Cloud	Advertising Agencies	409.80M
WINA	Winmark Corporation	Specialty Retail	742.23M
WING	Wingstop	Hotels, Restaurants & Leisure	5.47B
WINT	Windtree Therapeutics	Biotechnology	49.67M
WIRE	Encore Wire Corporation	Electrical Equipment	1.75B
WISA	Summit Wireless Technologies	Semiconductors & Semiconductor Equipment	45.85M
WISH	ContextLogic	Internet & Direct Marketing Retail	4.27B
WIT	Wipro	IT Services	51.66B
WIX	Wix.com	IT Services	12.18B
WK	Workiva	Software	7.23B
WKEY	WISeKey International Holding	Software	166.51M
WKHS	Workhorse Group	Auto Components	1.08B
WKME	WalkMe	Software-Application	2.39B
WKSP	Worksport	Auto Parts	65.17M
WLDN	Willdan Group	Professional Services	487.14M
WLFC	Willis Lease Finance	Trading Companies & Distributors	230.52M
WLK	Westlake Chemical	Chemicals	11.04B
WLKP	Westlake Chemical Partners LP	Chemicals	900.18M
WLL	Whiting Petroleum	Oil, Gas & Consumable Fuels	2.00B
WLMS	Williams Industrial Services	Construction & Engineering	125.69M
WLTW	Willis Towers Watson	Insurance	30.52B
WM	Waste Management	Commercial Services & Supplies	65.04B
WMB	Williams Companies	Oil, Gas & Consumable Fuels	29.50B
WMC	Western Asset Mortgage Capital	Mortgage Real Estate Investment Trus...	154.46M
WMG	Warner Music Group	Entertainment	20.58B
WMK	Weis Markets	Food & Staples Retailing	1.50B
WMPN	William Penn Bancorporation	Thrifts & Mortgage Finance	185.69M
WMS	Advanced Drainage Systems	Building Products	8.28B
WMT	Walmart	Food & Staples Retailing	406.81B
WNC	Wabash National	Machinery	702.13M
WNEB	Western New England Bancorp	Thrifts & Mortgage Finance	189.94M
WNS	WNS (Holdings) Limited	IT Services	3.94B
WNW	Wunong Net Technology	Restaurants	119.00M
WOOF	Petco	Specialty Retail	6.57B
WOR	Worthington Industries	Metals & Mining	2.75B
WORX	SCWorx	Health Care Technology	28.03M
WOW	WideOpenWest	Media	1.73B
WPC	W.P. Carey	Equity Real Estate Investment Trusts...	14.28B
